Cod.;Giocatore;Squadra;Ruolo;Quotazione
649;ROVELLA Nicolo;LAZIO;C;34
724;RUBINO Tommaso;FIORENTINA;C;1
650;SABIRI Abdelhamid;FIORENTINA;C;22
651;SAELEMAEKERS Alexis;ROMA;C;42
652;SAMARDZIC Lazar;ATALANTA;C;44
653;SAMEK Daniel;LECCE;C;2
697;SENSI Stefano;MONZA;C;17
654;SERDAR Suat;VERONA;C;22
714;SISHUBA Ayanda;VERONA;C;1
655;SOHM Simon;PARMA;C;21
656;SOULE Matias;ROMA;C;34
657;STREFEZZA Gabriel;COMO;C;37
658;SULEMANA -;ATALANTA;C;17
659;SUSLOV Tomas;VERONA;C;17
660;SVOBODA Michael;VENEZIA;C;7
661;TAMEZE Adrien;TORINO;C;24
662;TCHAOUNA Loum;LAZIO;C;28
663;TCHATCHOUA Jackson;VERONA;C;15
664;TESSMANN Tanner;VENEZIA;C;23
665;THORSBY Morten;GENOA;C;16
666;THURAM Khéphren;JUVENTUS;C;44
748;TOMCZYK Oskar;BOLOGNA;C;1
667;TOPALOVIC Luka;INTER;C;1
668;TRAORE Chaka;MILAN;C;3
669;URBANSKI Kacper;MONZA;C;8
670;VALOTI Mattia;MONZA;C;13
671;VECINO Matias;LAZIO;C;31
672;VERDI Simone;COMO;C;20
673;VIGNATO Samuele;MONZA;C;9
674;VIOLA Nicolas;CAGLIARI;C;25
675;VLASIC Nikola;TORINO;C;36
711;VOS Silvano;MILAN;C;4
676;WEAH Timothy;JUVENTUS;C;39
677;ZALEWSKI Nicola;INTER;C;18
678;ZANIOLO Nicolò;FIORENTINA;C;42
679;ZARRAGA Oier;UDINESE;C;12
680;ZERBIN Alessio;VENEZIA;C;19
681;ZEROLI Kevin;MONZA;C;2
682;ZIELINSKI Piotr;INTER;C;46
690;ZURKOWSKI Szymon;EMPOLI;C;17
969;ABDELRAHMAN ZEENI Bilal;COMO;A;3
800;ABRAHAM Tammy;MILAN;A;38
970;ACCORNERO Federico;GENOA;A;1
939;ADAMS Che;TORINO;A;49
962;ALIDOU Faride;VERONA;A;11
953;ALMQVIST Pontus;PARMA;A;14
966;ANGHELE Lorenzo;JUVENTUS;A;1
801;ANKEYE David;GENOA;A;8
802;ARAMU Mattia;GENOA;A;19
803;ARNAUTOVIC Marko;INTER;A;41
994;AZON Ivan;COMO;A;9
996;BAL Jesse;PARMA;A;1
982;BALDE Mahamadou;LAZIO;A;1
974;BALOTELLI Mario;GENOA;A;28
804;BANDA Lameck;LECCE;A;20
805;BELOTTI Andrea;COMO;A;32
806;BELTRAN Lucas;FIORENTINA;A;45
807;BENEDYCZAK Adrian;PARMA;A;19
808;BJARKASON Bjarki;VENEZIA;A;11
809;BONNY Ange-Yoan;PARMA;A;24
810;BRAAF Jayden;VERONA;A;8
948;BRAVO Iker;UDINESE;A;15
811;BREKALO Josip;FIORENTINA;A;18
812;BRENNER -;UDINESE;A;19
813;BURNETE Rares;LECCE;A;1
814;CAMARDA Francesco;MILAN;A;6
815;CAMBIAGHI Nicolo;BOLOGNA;A;23
977;CAMPANIELLO Thomas;EMPOLI;A;1
816;CAPRARI Gianluca;MONZA;A;25
817;CAPUTO Francesco;EMPOLI;A;32
818;CARBONI Valentín;INTER;A;27
819;CASTELLANOS Valentin;LAZIO;A;64
820;CASTRO Santiago;BOLOGNA;A;36
821;CERRI Alberto;COMO;A;9
822;CHARPENTIER Gabriel;PARMA;A;21
823;CHEDDIRA Walid;NAPOLI;A;39
824;CHIESA Federico;JUVENTUS;A;49
976;CHINETTI Federico;COMO;A;1
961;CHUKWU Akpa;EMPOLI;A;3
825;COLAK Antonio-Mirko;PARMA;A;15
826;COLOMBO Lorenzo;EMPOLI;A;28
993;COMAN Florinel;CAGLIARI;A;17
963;CONCEICAO Francisco;JUVENTUS;A;42
981;CORNET Maxwel;GENOA;A;15
827;CORREA Joaquin;INTER;A;38
828;CRUZ Juan Manuel;VERONA;A;6
829;CUTRONE Patrick;COMO;A;38
940;DALLINGA Thijs;BOLOGNA;A;39
830;DAMIAN PIZARRO Pizarro;UDINESE;A;9
832;DANY MOTA -;MONZA;A;23
833;DAVIS Keinan;UDINESE;A;23
834;DE KETELAERE Charles;ATALANTA;A;60
984;DE PIERI Giacomo;INTER;A;1
835;DEULOFEU Gerard;UDINESE;A;32
957;DIA Boulaye;LAZIO;A;58
978;DIAO Assane;COMO;A;23
836;DIAW Davide;MONZA;A;9
837;DJURIC Milan;PARMA;A;29
964;DOMINGUEZ Benjamin;BOLOGNA;A;31
989;DOUVIKAS Tasos;COMO;A;15
949;DOVBYK Artem;ROMA;A;56
838;DYBALA Paulo;ROMA;A;71
944;EBONE Tommaso;BOLOGNA;A;1
943;EKHATOR Jeff;GENOA;A;8
839;EKONG Emmanuel;EMPOLI;A;8
840;EKUBAN Caleb;GENOA;A;20
841;ELLERTSSON Mikael;VENEZIA;A;14
842;ESPOSITO Sebastiano;EMPOLI;A;34
954;FADERA Alieu;COMO;A;19
843;FAVILLI Andrea;GENOA;A;15
992;FELIX Joao;MILAN;A;48
995;FILA Daniel;VENEZIA;A;11
844;FINI Seydou;GENOA;A;2
845;FORSON Omari;MONZA;A;10
846;GABRIELLONI Alessandro;COMO;A;21
987;GANVOULA Silvere;MONZA;A;8
985;GIMENEZ Santiago;MILAN;A;69
847;GIOACCHINI Nicholas;COMO;A;6
849;GONZALEZ Diego;LAZIO;A;1
848;GONZALEZ Nicolas;JUVENTUS;A;39
850;GUDMUNDSSON Albert;FIORENTINA;A;49
851;GYASI Emmanuel;EMPOLI;A;19
852;GYTKJAER Christian;VENEZIA;A;17
853;IKONE Jonathan;COMO;A;22
854;ISAKSEN Gustav;LAZIO;A;37
941;JASIM Ali;COMO;A;7
855;JOVIC Luka;MILAN;A;30
856;KALLON Yayah;VERONA;A;7
857;KARAMOH Yann;TORINO;A;20
858;KARLSSON Jesper;LECCE;A;18
859;KEAN Moise;FIORENTINA;A;68
860;KOUAME Christian;EMPOLI;A;28
861;KOWALSKI Mateusz;PARMA;A;1
862;KRSTOVIC Nikola;LECCE;A;38
863;KVARATSKHELIA Khvicha;NAPOLI;A;70
973;LAMBOURDE Mathis;VERONA;A;1
864;LAPADULA Gianluca;CAGLIARI;A;28
865;LASAGNA Kevin;VERONA;A;8
866;LEAO Rafael;MILAN;A;54
942;LIVRAMENTO Dailon;VERONA;A;15
867;LOOKMAN Ademola;ATALANTA;A;73
868;LUCCA Lorenzo;UDINESE;A;50
967;LUKAKU Romelu;NAPOLI;A;76
869;LUVUMBO Zito;CAGLIARI;A;26
870;MALDINI Daniel;ATALANTA;A;21
871;MAN Dennis;PARMA;A;26
872;MARIC Mirko;VENEZIA;A;6
873;MARTINEZ Lautaro;INTER;A;89
874;MATHEUS MARTINS -;UDINESE;A;18
959;MBANGULA Samuel;JUVENTUS;A;23
875;MIHAILA Valentin;PARMA;A;19
876;MIKOLAJEWSKI Daniel;PARMA;A;1
877;MILIK Arek;JUVENTUS;A;27
878;MITROVIC Stefan;VERONA;A;15
879;MORATA Alvaro;MILAN;A;61
926;MORENTE Tete;LECCE;A;24
831;MOSQUERA Daniel;VERONA;A;25
980;MUANI Kolo;JUVENTUS;A;55
880;MUNTEANU Louis;FIORENTINA;A;4
881;MUSTAPHA Marlon;COMO;A;4
882;MUTANDWA Kingstone;CAGLIARI;A;7
986;N'DRI Konan;LECCE;A;13
883;NABIAN Herculano;EMPOLI;A;1
884;NDOYE Dan;BOLOGNA;A;37
956;NERES David;NAPOLI;A;53
885;NGONGE Cyril;NAPOLI;A;28
958;NJIE Fallou;TORINO;A;10
886;NOSLIN Tijjani;LAZIO;A;39
887;NOVAKOVICH Andrija;VENEZIA;A;11
888;NZOLA M'Bala;FIORENTINA;A;35
889;ODGAARD Jens;BOLOGNA;A;40
890;OKAFOR Noah;NAPOLI;A;29
979;OMOREGBE Bob;MILAN;A;1
891;ORSOLINI Riccardo;BOLOGNA;A;59
892;OSIMHEN Victor;NAPOLI;A;90
893;PAJAC Marko;GENOA;A;5
894;PARTIPILO Anthony;PARMA;A;12
895;PAVOLETTI Leonardo;CAGLIARI;A;16
896;PEDRO -;LAZIO;A;44
988;PEDROLA Estanis;BOLOGNA;A;8
897;PELLEGRI Pietro;EMPOLI;A;27
990;PELLEGRINO Mateo;PARMA;A;7
898;PETAGNA Andrea;MONZA;A;25
899;PICCOLI Roberto;CAGLIARI;A;37
900;PIERINI Nicholas;VENEZIA;A;17
901;PIEROTTI Santiago;LECCE;A;26
955;PINAMONTI Andrea;GENOA;A;46
947;PISANO Manuel;COMO;A;1
902;POHJANPALO Joel;VENEZIA;A;33
903;POLITANO Matteo;NAPOLI;A;50
975;PUGNO Diego;JUVENTUS;A;1
904;PULISIC Christian;MILAN;A;61
905;PUSCAS George;GENOA;A;14
906;RAIMONDO Antonio;VENEZIA;A;2
907;RASPADORI Giacomo;NAPOLI;A;35
965;REBIC Ante;LECCE;A;12
908;REDAN Daishawn;VENEZIA;A;12
909;RETEGUI Mateo;ATALANTA;A;92
910;RODRIGUEZ Pablo;LECCE;A;10
951;ROMANO Thiago;INTER;A;1
991;SALAMA Amine;TORINO;A;10
911;SALCEDO Eddie;INTER;A;10
912;SANA FERNANDES -;LAZIO;A;1
913;SANABRIA Antonio;TORINO;A;29
952;SANCHEZ Alexis;UDINESE;A;34
914;SANSONE Nicola;LECCE;A;18
960;SARR Amin;VERONA;A;19
915;SATRIANO Martin;INTER;A;12
971;SAVVA Zanos;TORINO;A;1
916;SCAMACCA Gianluca;ATALANTA;A;61
917;SECK Demba;TORINO;A;5
918;SHOMURODOV Eldor;ROMA;A;23
919;SHPENDI Stiven;EMPOLI;A;12
920;SIMEONE Giovanni;NAPOLI;A;39
921;SOLBAKKEN Ola;EMPOLI;A;11
922;SOTTIL Riccardo;MILAN;A;29
923;SUCCESS Isaac;UDINESE;A;25
924;TAREMI Mehdi;INTER;A;47
925;TAVSAN Elayis;VERONA;A;14
950;TENGSTEDT Casper;VERONA;A;25
927;THAUVIN Florian;UDINESE;A;39
928;THURAM Marcus;INTER;A;90
929;TOURE El Bilal;ATALANTA;A;29
930;VAN HOOIJDONK Sydney;BOLOGNA;A;7
945;VAVASSORI Dominic;ATALANTA;A;1
983;VENTURINO Lorenzo;GENOA;A;1
931;VITINHA -;GENOA;A;24
932;VIVALDO Semedo;UDINESE;A;4
933;VLAHOVIC Dusan;JUVENTUS;A;77
972;VLAHOVIC Vanja;ATALANTA;A;1
946;VOELKERLING PERSSON Joel;LECCE;A;3
934;YALCIN Guven;GENOA;A;12
968;YEBOAH John;VENEZIA;A;8
935;YEBOAH Kelvin;GENOA;A;6
936;YILDIZ Kenan;JUVENTUS;A;47
937;ZACCAGNI Mattia;LAZIO;A;59
938;ZAPATA Duvan;TORINO;A;51
