Cod.;Giocatore;Squadra;Ruolo;Quotazione
220;BIRINDELLI Samuele;MONZA;D;15
221;BISSECK Yann Aurel;INTER;D;30
222;BONFANTI Giovanni;ATALANTA;D;1
223;BONIFAZI Kevin;LECCE;D;7
454;BORDON Felipe;LAZIO;D;1
440;BRADARIC Domagoj;VERONA;D;11
224;BREMER Gleison;JUVENTUS;D;30
473;BRORSSON Arvid;MONZA;D;5
225;BUCHANAN Tajon;INTER;D;18
226;BUONGIORNO Alessandro;NAPOLI;D;40
227;BUSATO Lorenzo;VENEZIA;D;1
228;BUTA Leonardo;UDINESE;D;1
229;CABAL Juan;JUVENTUS;D;19
230;CACACE Liberato;EMPOLI;D;15
231;CALABRIA Davide;BOLOGNA;D;22
232;CALAFIORI Riccardo;BOLOGNA;D;31
233;CALDIROLA Luca;MONZA;D;11
234;CAMBIASO Andrea;JUVENTUS;D;33
468;CANDE Fali;VENEZIA;D;6
235;CANDELA Antonio;VENEZIA;D;6
236;CARBONI Andrea;MONZA;D;11
441;CARBONI Franco;VENEZIA;D;4
237;CARLOS AUGUSTO -;INTER;D;42
238;CASALE Nicolò;BOLOGNA;D;16
239;CASSANDRO Tommaso;COMO;D;7
240;CECCHERINI Federico;VERONA;D;11
241;CELIK Zeki;ROMA;D;14
242;CHATZIDIAKOS Pantelis;CAGLIARI;D;14
243;CIRCATI Alessandro;PARMA;D;11
244;COBBAUT Elias;PARMA;D;5
245;COCO Saul;TORINO;D;20
246;COMENENCIA Livano;JUVENTUS;D;1
247;COMUZZO Pietro;FIORENTINA;D;15
248;COPPOLA Diego;VERONA;D;11
249;CORAZZA Tommaso;BOLOGNA;D;5
456;CORRADI Christian;VERONA;D;1
464;COSTA Alberto;JUVENTUS;D;15
250;COULIBALY Woyo;PARMA;D;9
429;CUADRADO Juan;ATALANTA;D;24
252;CURTO Marco;COMO;D;10
253;D'AMBROSIO Danilo;MONZA;D;5
405;DAHL Samuel;ROMA;D;13
443;DANILIUC Flavius;VERONA;D;12
254;DANILO -;JUVENTUS;D;26
433;DANSO Kevin;ROMA;D;21
255;DARMIAN Matteo;INTER;D;38
256;DAWIDOWICZ Pawel;VERONA;D;8
257;DE SCIGLIO Mattia;EMPOLI;D;10
258;DE SILVESTRI Lorenzo;BOLOGNA;D;24
259;DE VRIJ Stefan;INTER;D;39
260;DE WINTER Koni;GENOA;D;20
261;DEL PRATO Enrico;PARMA;D;22
262;DEMBELE Ali;TORINO;D;7
263;DI CHIARA Gianluca;PARMA;D;6
264;DI LORENZO Giovanni;NAPOLI;D;48
265;DI PARDO Alessandro;CAGLIARI;D;5
266;DIMARCO Federico;INTER;D;57
267;DJALO Tiago;JUVENTUS;D;15
268;DJIMSITI Berat;ATALANTA;D;39
269;DODO -;FIORENTINA;D;27
270;DORGU Patrick;LECCE;D;20
271;DOSSENA Alberto;COMO;D;15
272;DUMFRIES Denzel;INTER;D;55
273;EBOSELE Festy;UDINESE;D;13
274;EBOSSE Enzo;UDINESE;D;2
275;EBUEHI Tyronne;EMPOLI;D;14
276;EHIZIBUE Kingsley;UDINESE;D;18
416;EMERSON ROYAL -;MILAN;D;18
412;ERLIC Martin;BOLOGNA;D;13
410;ESTEVES Goncalo;UDINESE;D;13
277;FARAONI Davide;VERONA;D;15
278;FARES Mohamed;LAZIO;D;6
279;FELLIPE JACK -;COMO;D;2
280;FLORENZI Alessandro;MILAN;D;12
281;FONTANAROSA Alessandro;INTER;D;3
282;FRABOTTA Gianluca;JUVENTUS;D;3
407;FRESE Martin;VERONA;D;13
463;FRESNEDA Ivan;COMO;D;11
283;GABBIA Matteo;MILAN;D;21
471;GABRIEL Tiago;LECCE;D;4
284;GALLO Antonino;LECCE;D;21
317;GASPAR Kialonda;LECCE;D;13
285;GATTI Federico;JUVENTUS;D;31
286;GENDREY Valentin;LECCE;D;12
453;GHILARDI Daniele;VERONA;D;4
287;GIANNETTI Lautaro;UDINESE;D;12
438;GIGOT Samuel;LAZIO;D;28
288;GILA Mario;LAZIO;D;29
289;GODFREY Ben;ATALANTA;D;17
290;GOGLICHIDZE Saba;EMPOLI;D;3
291;GOLDANIGA Edoardo;COMO;D;10
292;GOLIC Lovro;ROMA;D;1
483;GOMEZ Valentin;UDINESE;D;4
293;GONZALEZ Facundo;JUVENTUS;D;6
439;GOSENS Robin;FIORENTINA;D;35
427;GUILBERT Frederic;LECCE;D;12
294;HAPS Ridgeciano;VENEZIA;D;6
295;HATEBOER Hans;ATALANTA;D;15
296;HEFTI Silvan;GENOA;D;9
447;HERMOSO Mario;ROMA;D;16
297;HERNANDEZ Theo;MILAN;D;28
298;HIEN Isak;ATALANTA;D;31
299;HOLM Emil;BOLOGNA;D;23
300;HRUSTIC Ajdin;VERONA;D;5
301;HUIJSEN Dean;JUVENTUS;D;11
448;HUMMELS Mats;ROMA;D;24
302;HYSAJ Elseid;LAZIO;D;20
303;IDZES Jay;VENEZIA;D;14
304;ILIC Mihajlo;BOLOGNA;D;9
305;IOANNOU Nicholas;COMO;D;13
306;IOVINE Alessio;COMO;D;13
307;ISMAJLI Ardian;EMPOLI;D;21
308;IZZO Armando;MONZA;D;10
428;JEAN Gaby;LECCE;D;12
309;JESUS Juan;NAPOLI;D;22
310;JIMENEZ Alex;MILAN;D;11
311;KABASELE Christian;UDINESE;D;14
312;KALULU Pierre;JUVENTUS;D;29
313;KAMARA Hassane;UDINESE;D;20
314;KAMENOVIC Dimitrije;LAZIO;D;2
315;KARSDORP Rick;ROMA;D;12
316;KAYODE Michael;FIORENTINA;D;14
476;KELLY Lloyd;JUVENTUS;D;13
434;KEMPF Marc-Oliver;COMO;D;19
318;KOLASINAC Sead;ATALANTA;D;34
432;KOSSOUNOU Odilon;ATALANTA;D;26
319;KOVACIK Peter;COMO;D;11
